,이름,가격,평점,URL,파일이름
28,"매일유업 매일상하목장 유기농 딸기우유 125ml, 24개","19,930",5.0,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/5905034757409433-6bcbb007-db1b-4f01-93b3-769dd6516ae5.jpg,"/Users/choejong-gyu/Desktop/image//29등,매일유업 매일상하목장 유기농 딸기우유 125ml, 24개.jpg"
29,"상하목장 유기농 멸균 바나나우유, 바나나맛, 125ml, 24개","20,370",5.0,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/5905034935665739-3545abab-8e9e-4a56-b270-54165660d302.jpg,"/Users/choejong-gyu/Desktop/image//30등,상하목장 유기농 멸균 바나나우유, 바나나맛, 125ml, 24개.jpg"
30,"종근당건강 프로메가 알티지 오메가3 듀얼 플러스, 60정, 3개","35,400",5.0,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2366220586338153-58e41331-f3ce-4be4-b6f0-993da3080423.jpg,"/Users/choejong-gyu/Desktop/image//31등,종근당건강 프로메가 알티지 오메가3 듀얼 플러스, 60정, 3개.jpg"
31,"바다미식회 살이꽉찬 국내산 손질꽃게 2절 (냉동), 1kg, 1개","17,760",4.5,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/03/20/18/2/50d410bb-9b32-4673-a235-5bdc3a523fdc.jpg,"/Users/choejong-gyu/Desktop/image//32등,바다미식회 살이꽉찬 국내산 손질꽃게 2절 (냉동), 1kg, 1개.jpg"
32,"커피빈 캡틴 아메리카노 스틱커피, 0.9g, 150개입, 1개","22,870",5.0,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/542245443862287-e631b3d0-2ac9-4e88-b350-8b4511c5d3fd.jpg,"/Users/choejong-gyu/Desktop/image//33등,커피빈 캡틴 아메리카노 스틱커피, 0.9g, 150개입, 1개.jpg"
33,"얼라이브 원스데일리 포맨 멀티비타민, 80정, 1개","25,400",5.0,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1588531468463665-b021e8cc-b134-4997-8ab7-20bd5c4cb7f1.jpg,"/Users/choejong-gyu/Desktop/image//34등,얼라이브 원스데일리 포맨 멀티비타민, 80정, 1개.jpg"
34,"곰곰 달콤한 스테비아 대추방울토마토, 1.5kg, 1팩","17,040",4.5,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/330469958538481-896c5775-64e5-4e29-9525-93ec7072ebab.jpg,"/Users/choejong-gyu/Desktop/image//35등,곰곰 달콤한 스테비아 대추방울토마토, 1.5kg, 1팩.jpg"
35,"앱솔루트 명작 2FL 분유 2단계, 800g, 2개","37,860",5.0,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/7877461633527519-7527ce85-5e96-4ece-96de-7d9636338b7c.jpg,"/Users/choejong-gyu/Desktop/image//36등,앱솔루트 명작 2FL 분유 2단계, 800g, 2개.jpg"
36,"하림 자연실록 무항생제 인증 닭봉 윗날개 (냉장), 350g, 2팩","12,980",5.0,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2700976264458292-7df6d785-3413-4b09-9aad-9708d4faecd1.jpg,"/Users/choejong-gyu/Desktop/image//37등,하림 자연실록 무항생제 인증 닭봉 윗날개 (냉장), 350g, 2팩.jpg"
37,"동원 쎈쿡 100% 발아현미밥, 195g, 24개","27,820",5.0,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/345397618876332-734a668c-a22c-495c-b1a1-0c7b7d965efa.jpg,"/Users/choejong-gyu/Desktop/image//38등,동원 쎈쿡 100% 발아현미밥, 195g, 24개.jpg"
