N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
160,HL만도,"33,550",600,-1.76%,"1,000","15,754","46,957",25.27,"138,943",13.15,4.78,
161,오뚜기,"385,500","3,500",-0.90%,"5,000","15,450","4,008",9.31,"4,398",5.59,16.53,
162,한전KPS,"33,950",900,-2.58%,200,"15,278","45,000",9.61,"76,694",10.79,8.61,
163,코스맥스,"132,800","5,100",-3.70%,500,"15,072","11,350",28.45,"149,568",48.27,3.65,
164,종근당,"119,100","6,500",-5.18%,"2,500","14,969","12,568",10.18,"435,999",12.57,13.62,
165,롯데정밀화학,"57,700",0,0.00%,"5,000","14,887","25,800",20.97,"23,920",5.46,6.51,
166,KBSTAR 머니마켓액티브,"51,080",5,+0.01%,0,"14,783","28,940",0.00,"77,063",N/A,N/A,
167,동원산업,"31,600",950,-2.92%,"1,000","14,689","46,483",1.78,"35,885",7.82,8.53,
168,TCC스틸,"56,000",100,-0.18%,"1,000","14,680","26,214",5.94,"191,856","-2,240.00",16.54,
169,대한전선,"11,790",200,-1.67%,"1,000","14,672","124,447",3.54,"267,037",35.30,3.32,
170,롯데칠성,"157,900","2,500",-1.56%,500,"14,651","9,279",10.39,"14,740",13.96,9.11,
171,HD현대인프라코어,"7,310",60,+0.83%,"1,000","14,591","199,603",17.43,"1,240,641",4.48,15.29,
172,TIGER 미국필라델피아반도체나스닥,"12,070",15,-0.12%,0,"14,550","120,550",0.26,"364,154",N/A,N/A,
173,KODEX 200선물인버스2X,"2,745",30,+1.10%,0,"14,527","529,200",0.76,"100,419,925",N/A,N/A,
174,하이트진로,"20,700",700,-3.27%,"5,000","14,518","70,134",9.21,"237,326",51.62,7.72,
175,TIGER TOP10,"10,610",55,-0.52%,0,"14,435","136,050",3.67,"183,377",N/A,N/A,
176,현대위아,"52,900",400,-0.75%,"5,000","14,386","27,195",12.82,"71,542",-9.99,1.99,
177,DL이앤씨,"37,100",600,+1.64%,"5,000","14,355","38,694",27.08,"147,106",4.95,9.70,
178,LX세미콘,"87,200","1,000",-1.13%,500,"14,182","16,264",27.23,"150,558",15.12,26.70,
179,에스디바이오센서,"11,150",220,-1.93%,500,"13,879","124,477",6.32,"133,203",-5.57,35.30,
180,솔루엠,"27,750","1,350",-4.64%,500,"13,877","50,006",19.57,"916,880",11.63,16.93,
181,KG모빌리티,"7,420",180,-2.37%,"5,000","13,872","186,956",25.74,"196,471",224.85,-12.10,
182,DGB금융지주,"8,070",60,-0.74%,"5,000","13,650","169,146",45.35,"221,823",3.20,7.38,
183,SK가스,"147,700","1,300",+0.89%,"5,000","13,633","9,230",6.87,"6,089",5.23,11.53,
184,에스엘,"29,250",800,-2.66%,500,"13,586","46,449",15.90,"93,344",5.46,9.87,
185,덴티움,"121,900","1,200",+0.99%,500,"13,493","11,069",19.05,"139,006",18.56,25.86,
186,금호타이어,"4,690",30,+0.64%,"5,000","13,472","287,260",4.48,"201,704","-1,563.33",-6.87,
187,KODEX 24-12 은행채(AA+이상)액티브,"10,060",0,0.00%,0,"13,388","133,080",0.00,"21,746",N/A,N/A,
188,한국앤컴퍼니,"13,980",140,+1.01%,500,"13,272","94,935",10.20,"146,830",14.28,4.37,
189,효성,"62,800",100,-0.16%,"5,000","13,233","21,071",5.05,"13,145",-18.17,0.60,
190,코스모화학,"34,400","2,300",-6.27%,"1,000","13,212","38,408",5.08,"291,398",-103.93,6.13,
191,SK네트웍스,"5,580",210,-3.63%,"2,500","13,156","235,778",10.84,"464,165",29.21,3.88,
192,KBSTAR 200,"32,670",210,-0.64%,0,"12,856","39,350",0.07,"217,919",N/A,N/A,
193,두산,"76,900","2,200",-2.78%,"5,000","12,707","16,524",9.92,"81,885",-2.32,-36.00,
194,코리안리,"8,870",130,+1.49%,500,"12,491","140,823",31.74,"105,750",3.67,5.91,
195,KODEX 단기채권PLUS,"108,280",20,+0.02%,0,"12,416","11,467",0.01,"5,737",N/A,N/A,
196,대웅제약,"107,000","2,200",-2.01%,"2,500","12,398","11,587",9.94,"9,720",24.16,7.17,
197,GS건설,"14,470",90,+0.63%,"5,000","12,384","85,581",18.86,"301,875",-11.54,7.18,
198,롯데웰푸드,"128,600",400,+0.31%,500,"12,133","9,435",12.43,"20,438",36.60,2.89,
199,녹십자,"102,900",300,+0.29%,"5,000","12,025","11,687",18.13,"16,587",47.27,5.03,
200,두산퓨얼셀,"18,330",650,-3.42%,100,"12,005","65,494",12.07,"165,047",181.49,0.74,
